Instance,Population Size,Mutation Probability,Total Fleet Size,Min Bus Line/Ind,Min Vertices in a Bus Line,Max Vertices in a Bus Line,Transfer Penalty,Unreached Stop Penalty,Best Solution Operator Cost,Best Solution Passanger Cost,Total Time
Mumford0,200,0.25,15,6,8,4,20,200,23.625,58.99465162497077,4665.977687358856
Mumford0,200,0.25,15,6,8,4,20,200,25.975,55.363704115033904,4480.3776433467865
Mumford0,200,0.25,15,6,8,4,20,200,23.0,68.01791559504325,4614.375374317169
Mumford0,200,0.25,15,6,8,4,20,200,24.0,59.29690787935469,4676.690747261047
Mumford0,200,0.25,15,6,8,4,20,200,24.07777777777778,53.26662964694879,4636.660439014435
Mumford0,200,0.25,15,6,8,4,20,200,27.366666666666667,53.16503974748655,4846.8417003154755
Mumford0,200,0.25,15,6,8,4,20,200,28.083333333333332,54.8789747486556,4676.349313020706
Mumford0,200,0.25,15,6,8,4,20,200,21.4,71.81347907411737,5153.780563831329
Mumford0,200,0.25,15,6,8,4,20,200,26.88888888888889,51.72176759410802,4635.525735616684
Mumford0,200,0.5,15,6,8,4,20,120,25.1,52.88207271451952,3235.460354566574
Mumford0,200,0.5,15,6,8,4,20,120,23.933333333333334,54.40257481879822,3073.9190254211426
Mumford0,200,0.5,15,6,8,4,20,120,22.55,50.042392447977555,3342.7100481987
Mumford0,200,0.5,15,6,8,4,20,120,27.85,51.24704816460136,3733.090329647064
Mumford0,200,0.5,15,6,8,4,20,120,24.404761904761905,51.10448328267477,3272.344177007675
Mumford0,200,0.5,15,6,8,4,20,120,26.166666666666668,50.708192073883566,3424.584434747696
Mumford0,200,0.5,15,6,8,4,20,120,23.15,53.524023848491936,3571.965845346451
Mumford0,200,0.5,15,6,8,4,20,120,26.45,50.95846972176759,3620.9278581142426
Mumford0,200,0.5,15,6,8,4,20,120,22.0,53.22917640869768,3605.8647015094757
Mumford0,200,0.5,15,6,8,4,20,120,22.375,55.87023614683189,2555.2853043079376
Mumford0,200,0.5,15,6,8,4,20,120,25.61666666666667,51.45848433481412,3437.0458102226257
Mumford0,200,0.5,15,6,8,4,20,120,22.916666666666664,53.385667523965395,3204.429569005966
Mumford0,200,0.5,15,6,8,4,20,120,21.675,51.56792144026186,3427.9155416488647
Mumford0,200,0.5,15,6,8,4,20,120,27.25,53.08753214870236,3230.7790625095367
Mumford0,200,0.5,15,6,8,4,20,120,25.05,53.87291033434651,3239.7474279403687
Mumford0,200,0.5,15,6,8,4,20,200,21.583333333333332,63.32648468552724,2504.0999040603638
Mumford0,200,0.5,15,6,8,4,20,200,20.966666666666665,62.93386135141454,2457.849725008011
Mumford0,200,0.5,15,6,8,4,20,200,23.416666666666668,57.49985386953472,3018.394392967224
Mumford0,200,0.5,15,6,8,4,20,200,24.000000000000004,60.89423076923077,2407.532149076462
Mumford0,200,0.5,15,6,8,4,20,200,27.46666666666667,52.62523380874445,2803.270497560501
Mumford0,200,0.5,15,6,8,4,20,200,22.38888888888889,59.10686520925883,3266.4396719932556
Mumford0,200,0.5,15,6,8,4,20,200,23.75,50.77326397007248,2586.881197452545
Mumford0,200,0.5,15,6,8,4,20,200,25.0,53.08037175590367,3034.827885866165
Mumford0,200,0.5,15,6,8,4,20,200,24.533333333333335,50.66322772971709,3261.7325932979584
Mumford0,200,0.5,15,6,8,4,20,200,25.533333333333335,50.906622632686464,3094.0491483211517
Mumford0,200,0.5,15,6,8,4,20,200,22.933333333333334,55.93599485620762,2834.9817249774933
Mumford0,200,0.5,15,6,8,4,20,200,26.273809523809526,53.926759410801964,2644.11834359169
Mumford0,200,0.5,15,6,8,4,20,200,23.9,58.397124152443304,3171.339094877243
Mumford0,200,0.5,15,6,8,4,20,200,24.53333333333333,54.60965630114566,2969.0810039043427
Mumford0,200,0.5,15,6,8,4,20,200,24.0,60.746010638297875,3237.706434726715
Mumford0,200,0.1,15,6,10,4,20,120,34.65,49.42624795417348,3489.8982989788055
Mumford0,200,0.1,15,6,10,4,20,120,27.78333333333333,46.810264203881225,3329.152689933777
Mumford0,200,0.1,15,6,10,4,20,120,29.814285714285717,50.576499298573765,3090.4271910190582
Mumford0,200,0.1,15,6,10,4,20,120,25.85,51.51207037643208,3549.787491798401
Mumford0,200,0.1,15,6,10,4,20,120,26.0,60.451499298573765,3018.376434326172
Mumford0,200,0.1,15,6,10,4,20,120,25.25,59.944207388356325,2820.5973744392395
Mumford0,200,0.1,15,6,10,4,20,120,25.40476190476191,62.249780804302084,3435.536322593689
Mumford0,200,0.1,15,6,10,4,20,120,29.35,57.39059212064531,3561.9534800052643
Mumford0,200,0.1,15,6,10,4,20,120,25.761904761904763,59.55221241524433,3370.4048902988434
Mumford0,200,0.1,15,6,10,4,20,120,25.733333333333334,58.75527530979659,3794.646064519882
Mumford0,200,0.1,15,6,10,4,20,120,27.876190476190473,56.16996434416647,3831.0135383605957
Mumford0,200,0.1,15,6,10,4,20,120,29.666666666666668,54.41379763853168,3411.1601572036743
Mumford0,200,0.1,15,6,10,4,20,120,30.525000000000002,54.69359364040215,3877.37530374527
Mumford0,200,0.1,15,6,10,4,20,120,32.35,48.11617371989713,3513.097761631012
Mumford0,200,0.1,15,6,10,4,20,120,27.8,58.483151157353284,4030.8615777492523
Mumford0,200,0.1,15,6,10,4,20,200,25.714285714285715,63.04202712181436,3308.4579939842224
Mumford0,200,0.1,15,6,10,4,20,200,25.833333333333332,71.89260872106617,2386.031697034836
Mumford0,200,0.1,15,6,10,4,20,200,27.404761904761905,57.334127308861355,3171.8507380485535
Mumford0,200,0.1,15,6,10,4,20,200,20.32857142857143,69.72214753331775,3663.8899199962616
Mumford0,200,0.1,15,6,10,4,20,200,21.271428571428572,67.12488309562778,3500.79536151886
